Competition,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,Team,Player,StartingPosition,EnterMinute,ExitMinute,PlayerID,PlayerFirstName,PlayerSurname,PlayerNationality,PlayerBirthCountry,PlayerBirthdate
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,W. Szczęsny,GK-C,0,,16085,Wojciech,Szczęsny,Poland,Poland,90/04/18
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,P. Mertesacker,D2-CR,0,,16,Per,Mertesacker,Germany,Germany,84/09/29
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,T. Vermaelen,D2-CL,0,,2181,Thomas,Vermaelen,Belgium,Belgium,85/11/14
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,K. Gibbs,D2-L,0,,26204,Kieran,Gibbs,England,England,89/09/26
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,C. Jenkinson,D2-R,0,,142739,Carl,Jenkinson,England,England,92/02/08
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,Arteta,M-C,0,,2876,Mikel,Arteta Amatriain,Spain,Spain,82/03/26
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,A. Diaby,M-CR,0,69,2959,Vassiriki Abou,Diaby,France,France,86/05/11
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,Santi Cazorla,M-CL,0,,18102,Santiago,Cazorla González,Spain,Spain,84/12/13
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,T. Walcott,A-CR,0,76,194,Theo,Walcott,England,England,89/03/16
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,L. Podolski,A-CL,0,64,2053,Lukas,Podolski,Germany,Poland,85/06/04
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,Y. Gervinho,A-C,0,,13760,Gervais Lombe Yao,Kouassi,Côte d'Ivoire,Côte d'Ivoire,87/05/27
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,O. Giroud,,64,,59504,Olivier,Giroud,France,France,86/09/30
EnglandPremierLeague,8/18/2012,Arsenal,Sunderland,0,0,Arsenal,A. Ramsey,,69,,66532,Aaron,Ramsey,Wales,Wales,90/12/26
