"","Player","PlayerBirthdate","Competition","Date","HomeTeam","AwayTeam","HomeScore","AwayScore","Team","StartingPosition","EnterMinute","ExitMinute","PlayerID","PlayerFirstName","PlayerSurname","PlayerNationality","PlayerBirthCountry","RestPeriod","Rest","PlayerId","StartDate","EndDate","Description","TeamName","InjuryType","Duration","PriorInjury","Occurrence"
"1","A. Cole",1980-12-20,"EnglandPremierLeague",2012-10-28,"Chelsea","Manchester United",2,3,"Chelsea","D1-L","0","",178,"Ashley","Cole","England","England",5,"Short Rest","3785",2012-10-28,2012-11-17,"Malleolar injury","CFC","Contact Injury",20,"No"," Current Match"
"2","A. Cole",1980-12-20,"EnglandPremierLeague",2012-11-03,"Swansea City","Chelsea",1,1,"Chelsea","D2-L","0","",178,"Ashley","Cole","England","England",6,"Short Rest","3785",2012-10-28,2012-11-17,"Malleolar injury","CFC","Contact Injury",20,"Yes","Previous Match"
"3","A. Cole",1980-12-20,"EnglandPremierLeague",2012-11-17,"West Bromwich &hellip;","Chelsea",2,1,"Chelsea","","","",178,"Ashley","Cole","England","England",14,"Long Rest","3785",2012-10-28,2012-11-17,"Malleolar injury","CFC","Contact Injury",20,"Yes","Previous Match"
"4","A. Cole",1980-12-20,"EnglandPremierLeague",2013-10-06,"Norwich City","Chelsea",1,3,"Chelsea","D1-L","0","75",178,"Ashley","Cole","England","England",5,"Short Rest","3785",2013-10-06,2013-10-25,"Rib bruise","CFC","Soft Injury",19,"No"," Current Match"
"5","A. Diaby",1986-05-11,"EnglandPremierLeague",2013-02-23,"Arsenal","Aston Villa",2,1,"Arsenal","M-CR","0","61",2959,"Vassiriki Abou","Diaby","France","France",4,"Short Rest","28566",2013-02-23,2013-03-13,"Calf Problems","ARSL","Soft Injury",18,"No"," Current Match"
"6","A. Diaby",1986-05-11,"UEFAChampionsLeague",2013-03-13,"Bayern München","Arsenal",0,2,"Arsenal","","","",2959,"Vassiriki Abou","Diaby","France","France",18,"Long Rest","28566",2013-02-23,2013-03-13,"Calf Problems","ARSL","Soft Injury",18,"Yes","Previous Match"
"7","A. Oxlade-Chamberlain",1993-08-15,"EnglandPremierLeague",2015-05-24,"Arsenal","West Bromwich &hellip;",4,1,"Arsenal","","77","",120695,"Alex","Oxlade-Chamberlain","England","England",81,"Long Rest","81880",2015-04-06,2015-05-25,"groin strain","ARSL","Soft Injury",49,"Yes","Previous Match"
"8","A. Ramsey",1990-12-26,"EnglandPremierLeague",2013-12-26,"West Ham United","Arsenal",1,3,"Arsenal","DM-CR","0","65",66532,"Aaron","Ramsey","Wales","Wales",3,"Short Rest","41792",2013-12-26,2014-04-03,"Thigh Muscle Strain","ARSL","Soft Injury",98,"No"," Current Match"
"9","A. Ramsey",1990-12-26,"UEFAChampionsLeague",2014-12-09,"Galatasaray","Arsenal",1,4,"Arsenal","M-CR","0","46",66532,"Aaron","Ramsey","Wales","Wales",3,"Short Rest","41792",2014-12-08,2015-01-12,"Hamstring Injury","ARSL","Soft Injury",35,"Yes","Previous Match"
"10","A. Ramsey",1990-12-26,"EnglandPremierLeague",2015-01-11,"Arsenal","Stoke City",3,0,"Arsenal","","","",66532,"Aaron","Ramsey","Wales","Wales",33,"Long Rest","41792",2014-12-08,2015-01-12,"Hamstring Injury","ARSL","Soft Injury",35,"Yes","Previous Match"
"11","A. Ramsey",1990-12-26,"EnglandPremierLeague",2015-02-10,"Arsenal","Leicester City",2,1,"Arsenal","","73","82",66532,"Aaron","Ramsey","Wales","Wales",3,"Short Rest","41792",2015-02-09,2015-03-02,"Thigh problems","ARSL","Soft Injury",21,"Yes","Previous Match"
"12","A. Young",1985-07-09,"EnglandPremierLeague",2013-04-08,"Manchester United","Manchester City",1,2,"Manchester United","M-L","0","90+2",2553,"Ashley","Young","England","England",9,"Long Rest","18892",2013-04-08,2013-08-19,"Malleolar injury","MANU","Contact Injury",133,"No"," Current Match"
"13","A. Young",1985-07-09,"EnglandPremierLeague",2014-10-20,"West Bromwich &hellip;","Manchester United",2,2,"Manchester United","","76","",2553,"Ashley","Young","England","England",51,"Long Rest","18892",2014-09-11,2014-10-20,"Groin Injury","MANU","Soft Injury",39,"Yes","Previous Match"
"14","A. Young",1985-07-09,"EnglandPremierLeague",2015-01-01,"Stoke City","Manchester United",1,1,"Manchester United","M-R","0","75",2553,"Ashley","Young","England","England",4,"Short Rest","18892",2015-01-01,2015-02-02,"Hamstring Injury","MANU","Soft Injury",32,"No"," Current Match"
"15","Anderson",1988-04-13,"EnglandPremierLeague",2012-12-01,"Reading","Manchester United",3,4,"Manchester United","AM-R","0","45",10369,"Anderson Luis","de Abreu Oliveira","Brazil","Brazil",3,"Short Rest","27258",2012-12-01,2013-01-13,"Hamstring Injury","MANU","Soft Injury",43,"No"," Current Match"
"16","Anderson",1988-04-13,"EnglandPremierLeague",2013-01-13,"Manchester United","Liverpool",2,1,"Manchester United","","","",10369,"Anderson Luis","de Abreu Oliveira","Brazil","Brazil",43,"Long Rest","27258",2012-12-01,2013-01-13,"Hamstring Injury","MANU","Soft Injury",43,"Yes","Previous Match"
"17","B. Sagna",1983-02-14,"EnglandPremierLeague",2012-11-28,"Everton","Arsenal",1,1,"Arsenal","D2-R","0","",1407,"Bacary","Sagna","France","France",4,"Short Rest","37748",2012-11-28,2012-12-15,"Foot injury","ARSL","Soft Injury",17,"No"," Current Match"
"18","B. Sagna",1983-02-14,"EnglandPremierLeague",2012-12-08,"Arsenal","West Bromwich &hellip;",2,0,"Arsenal","D1-R","0","",1407,"Bacary","Sagna","France","France",10,"Long Rest","37748",2012-11-28,2012-12-15,"Foot injury","ARSL","Soft Injury",17,"Yes","Previous Match"
"19","B. Sagna",1983-02-14,"UEFAChampionsLeague",2013-02-19,"Arsenal","Bayern München",1,3,"Arsenal","D2-R","0","",1407,"Bacary","Sagna","France","France",10,"Long Rest","37748",2013-02-19,2013-03-29,"Knee injury","ARSL","Soft Injury",38,"No"," Current Match"
"20","C. Smalling",1989-11-22,"EnglandPremierLeague",2014-12-08,"Southampton","Manchester United",1,2,"Manchester United","D1-C","0","18",79474,"Chris","Smalling","England","England",6,"Short Rest","55909",2014-12-08,2014-12-25,"Groin Injury","MANU","Soft Injury",17,"No"," Current Match"
"21","D. Blind",1990-03-09,"EnglandPremierLeague",2015-04-12,"Manchester United","Manchester City",4,2,"Manchester United","D1-L","0","",68886,"Daley","Blind","Netherlands","Netherlands",8,"Long Rest","58877",2015-04-12,2015-04-26,"Malleolar injury","MANU","Contact Injury",14,"No"," Current Match"
"22","D. Blind",1990-03-09,"EnglandPremierLeague",2015-04-26,"Everton","Manchester United",3,0,"Manchester United","DM-C","0","",68886,"Daley","Blind","Netherlands","Netherlands",14,"Long Rest","58877",2015-04-12,2015-04-26,"Malleolar injury","MANU","Contact Injury",14,"Yes","Previous Match"
"23","D. Drogba",1978-03-11,"EnglandPremierLeague",2014-10-18,"Crystal Palace","Chelsea",1,2,"Chelsea","","90+1","",310,"Didier Yves","Drogba Tébily","Côte d'Ivoire","Côte d'Ivoire",21,"Long Rest","12303",2014-09-29,2014-10-20,"Malleolar injury","CFC","Contact Injury",21,"Yes","Previous Match"
"24","D. Ospina",1988-08-31,"EnglandPremierLeague",2014-12-26,"Arsenal","Queens Park Ra&hellip;",2,1,"Arsenal","","","",22426,"David","Ospina Ramírez","Colombia","Colombia",86,"Long Rest","48844",2014-10-09,2014-12-26,"Hip injury","ARSL","Soft Injury",78,"Yes","Previous Match"
"25","F. Lampard",1978-06-20,"UEFAChampionsLeague",2012-10-23,"Shakhtar Donetsk","Chelsea",2,1,"Chelsea","M-CL","0","18",189,"Frank","Lampard","England","England",3,"Short Rest","2051",2012-10-23,2012-11-11,"Calf Problems","CFC","Soft Injury",19,"No"," Current Match"
"26","Fernando Torres",1984-03-20,"UEFAChampionsLeague",2013-10-01,"FCSB","Chelsea",0,4,"Chelsea","A-C","0","11",334,"Fernando José","Torres Sanz","Spain","Spain",3,"Short Rest","14402",2013-09-30,2013-10-17,"Medial collateral ligament injury","CFC","Soft Injury",17,"Yes","Previous Match"
"27","J. Evans",1988-01-03,"UEFAChampionsLeague",2012-11-07,"Sporting Braga","Manchester United",1,3,"Manchester United","D1-CL","0","57",20687,"Jonny","Evans","Northern Ireland","Northern Ireland",4,"Short Rest","37642",2012-11-07,2012-11-20,"groin strain","MANU","Soft Injury",13,"No"," Current Match"
"28","J. Evans",1988-01-03,"EnglandPremierLeague",2014-12-08,"Southampton","Manchester United",1,2,"Manchester United","","18","",20687,"Jonny","Evans","Northern Ireland","Northern Ireland",78,"Long Rest","37642",2014-09-22,2014-12-08,"Malleolar injury","MANU","Contact Injury",77,"Yes","Previous Match"
"29","J. Evans",1988-01-03,"EnglandPremierLeague",2015-05-09,"Crystal Palace","Manchester United",1,2,"Manchester United","","40","",20687,"Jonny","Evans","Northern Ireland","Northern Ireland",66,"Long Rest","37642",2015-04-27,2015-05-09,"Sciatic Problem","MANU","Soft Injury",12,"Yes","Previous Match"
